1;saya tidak bisa login ke web gimana ya?
2;caranya pasang iklan di rumah2in1 bagaimana?
3;Saya pasang iklan gagal terus ini gimana?
4;saya lupa password akun di rumah2in1 gimana ya?
5;saya tidak bisa pasang foto di listing iklan
6;ini mau login kok gagal terus?
7;listing saya kok belum unlimited ya?
8;saya tidak bisa upload foto profil , gagal terus
9;disini caranya sundul iklan gimana ya?
10;caranya membagikan link afiliasi bagaimana?
11;saya sudah dapat downline tapi uang tidak tambah 
12;kok  tidak bisa login ke member area?
13;saya lupa password member area, gimana ya?
14;saya sudah transfer, lalu bagaimana?
15;untuk jadi member premium bagaimana caranya?
16;transfernya kemana?
17;untungnya jadi member premium apa?
18;apa beda nya dengan rumahdijual?
19;apa bedanya dengan olx?
20;gimana cara edit iklan saya?
21;rumah saya sudah laku. lalu bagaimana?
22;caranya menghapus iklan properti gimana?
23;tulisan harga iklan saya kok kepotong?
24;apakah iklan gratis disini bisa kadaluarsa?
25;premium member berlaku berapa lama?
26;cara pakai featured listing gimana?
27;gimana caranya iklan saya bisa tampil di depan?
28;saya tidak tahu cara memperbesar foto jadi 500 pixel?
29;saya sudah pasang link youtube tapi tidak ada viewing a?
30;bantu jualkan apartemen saya di jakarta pusat 
31;berapa kisaran harga tanah di wates 
32;kavling siap bangun harga 100jutaan hubungi 081391100888
33;saya tidak paham cara pasang iklan tolong bantu jualkan rumah sy
34;mau ganti featured listing gimana?
35;berapa batas foto yg bisa dipasang?
36;gimana caranya bagi link ke whatsapp?
37;tidak bisa share ke facebook ini gimana?
38;saya kok tidak bisa masuk member area?
39;tanah dijual di jalan solo mangku jalan harga 1 M net 08132464888
40;mau daftar loadingnya lama 
41;saya pasang iklan kok gagal layarnya putih semua?
42;tolong carikan data harga tanah di samarinda
43;apa ada trend properti di surabaya?
44;kenapa iklan saya kemarin hilang?
45;saya sudah minta ubah password tetapi tidak ada email masuk 
46;caranya nambah limit listing gimana ya?
47;apa boleh punya akun banyak?
48;saya mau daftar tidak bisa ada tulisan email sudah digunakan,bagaimana Ini?
49;apa boleh pasang listing properti yg sudah saya pasang sebelumnya?
50;apa gunanya best seller, recommended, open house?